Algoritmo,Problema,Operador,Ejecucion,Generacion,HV_gen
nsgaii,wfg8,baseline,0,249,1.0990930322881076
nsgaii,wfg8,baseline,1,249,1.1048029289253245
nsgaii,wfg8,baseline,2,249,1.1045126207571776
nsgaii,wfg8,baseline,3,249,1.1144112120896477
nsgaii,wfg8,baseline,4,249,1.1178967616123223
nsgaii,wfg8,baseline,5,249,1.0829345967053372
nsgaii,wfg8,baseline,6,249,1.0791905911692286
nsgaii,wfg8,baseline,7,249,1.0599733724890712
nsgaii,wfg8,baseline,8,249,1.127480508838575
nsgaii,wfg8,baseline,9,249,1.0908221385508692
nsgaii,wfg8,baseline,10,249,1.1076450690895492
nsgaii,wfg8,baseline,11,249,1.079844382662515
nsgaii,wfg8,baseline,12,249,1.1006155654470493
nsgaii,wfg8,baseline,13,249,1.1005233627944528
nsgaii,wfg8,baseline,14,249,1.1052288571435733
nsgaii,wfg8,baseline,15,249,1.1139437090771915
nsgaii,wfg8,baseline,16,249,1.102572269048432
nsgaii,wfg8,baseline,17,249,1.1114877412632986
nsgaii,wfg8,baseline,18,249,1.1195029740543128
nsgaii,wfg8,baseline,19,249,1.1136359445801058
nsgaii,wfg8,sam_energy,0,249,1.1107584361010376
nsgaii,wfg8,sam_energy,1,249,1.1379682820009522
nsgaii,wfg8,sam_energy,2,249,1.107679972248709
nsgaii,wfg8,sam_energy,3,249,1.087607176198146
nsgaii,wfg8,sam_energy,4,249,1.1293684440514151
nsgaii,wfg8,sam_energy,5,249,1.104053283625134
nsgaii,wfg8,sam_energy,6,249,1.1124445511974228
nsgaii,wfg8,sam_energy,7,249,1.1073775760930689
nsgaii,wfg8,sam_energy,8,249,1.1291703908136095
nsgaii,wfg8,sam_energy,9,249,1.109490289527462
nsgaii,wfg8,sam_energy,10,249,1.075216359309372
nsgaii,wfg8,sam_energy,11,249,1.116048670145473
nsgaii,wfg8,sam_energy,12,249,1.1230842569028299
nsgaii,wfg8,sam_energy,13,249,1.1249379799050399
nsgaii,wfg8,sam_energy,14,249,1.1316847457198536
nsgaii,wfg8,sam_energy,15,249,1.1207769780359353
nsgaii,wfg8,sam_energy,16,249,1.11946301419279
nsgaii,wfg8,sam_energy,17,249,1.1185497397319164
nsgaii,wfg8,sam_energy,18,249,1.1455241402674339
nsgaii,wfg8,sam_energy,19,249,1.112068521998915
nsgaii,wfg8,sam_uniform,0,249,1.1408216598363108
nsgaii,wfg8,sam_uniform,1,249,1.1224438302178787
nsgaii,wfg8,sam_uniform,2,249,1.1154315333624456
nsgaii,wfg8,sam_uniform,3,249,1.11870843979911
nsgaii,wfg8,sam_uniform,4,249,1.1265802301658276
nsgaii,wfg8,sam_uniform,5,249,1.106854081261526
nsgaii,wfg8,sam_uniform,6,249,1.0732254202017772
nsgaii,wfg8,sam_uniform,7,249,1.109183589389795
nsgaii,wfg8,sam_uniform,8,249,1.0768603619620127
nsgaii,wfg8,sam_uniform,9,249,1.1121146713850034
nsgaii,wfg8,sam_uniform,10,249,1.0864388839014882
nsgaii,wfg8,sam_uniform,11,249,1.1146886632798696
nsgaii,wfg8,sam_uniform,12,249,1.1033904397988268
nsgaii,wfg8,sam_uniform,13,249,1.1338958991121788
nsgaii,wfg8,sam_uniform,14,249,1.1289109753678814
nsgaii,wfg8,sam_uniform,15,249,1.1065355531022205
nsgaii,wfg8,sam_uniform,16,249,1.127001999779436
nsgaii,wfg8,sam_uniform,17,249,1.1059881387374086
nsgaii,wfg8,sam_uniform,18,249,1.127260826903453
nsgaii,wfg8,sam_uniform,19,249,1.13031562161849
nsgaii,wfg8,mut_dirichlet,0,249,0.5887347023210668
nsgaii,wfg8,mut_dirichlet,1,249,1.116980493734006
nsgaii,wfg8,mut_dirichlet,2,249,0.8348669288809258
nsgaii,wfg8,mut_dirichlet,3,249,1.074751635784362
nsgaii,wfg8,mut_dirichlet,4,249,1.1321844695161303
nsgaii,wfg8,mut_dirichlet,5,249,1.0198783735541048
nsgaii,wfg8,mut_dirichlet,6,249,1.1337493710176398
nsgaii,wfg8,mut_dirichlet,7,249,1.1186590740795745
nsgaii,wfg8,mut_dirichlet,8,249,0.7695245495927249
nsgaii,wfg8,mut_dirichlet,9,249,0.6126352493493337
nsgaii,wfg8,mut_dirichlet,10,249,1.1118052929911815
nsgaii,wfg8,mut_dirichlet,11,249,0.533879895050468
nsgaii,wfg8,mut_dirichlet,12,249,1.0440532852297437
nsgaii,wfg8,mut_dirichlet,13,249,1.0840698022680857
nsgaii,wfg8,mut_dirichlet,14,249,1.1194598336253003
nsgaii,wfg8,mut_dirichlet,15,249,1.0573479156324113
nsgaii,wfg8,mut_dirichlet,16,249,1.056245465660037
nsgaii,wfg8,mut_dirichlet,17,249,1.119846721347851
nsgaii,wfg8,mut_dirichlet,18,249,1.0931400240038096
nsgaii,wfg8,mut_dirichlet,19,249,1.0306350033468232
nsgaii,wfg8,cross_spx,0,249,0.8941334137338722
nsgaii,wfg8,cross_spx,1,249,0.8735550016065238
nsgaii,wfg8,cross_spx,2,249,0.8917087149501413
nsgaii,wfg8,cross_spx,3,249,0.8834560890684691
nsgaii,wfg8,cross_spx,4,249,0.8904089164116307
nsgaii,wfg8,cross_spx,5,249,0.8922858641109633
nsgaii,wfg8,cross_spx,6,249,0.8918344263360188
nsgaii,wfg8,cross_spx,7,249,0.8794249287815235
nsgaii,wfg8,cross_spx,8,249,0.8532066711803101
nsgaii,wfg8,cross_spx,9,249,0.8819953951413925
nsgaii,wfg8,cross_spx,10,249,0.8483625300277223
nsgaii,wfg8,cross_spx,11,249,0.9375325937229835
nsgaii,wfg8,cross_spx,12,249,0.8978686709747904
nsgaii,wfg8,cross_spx,13,249,0.9063500994034176
nsgaii,wfg8,cross_spx,14,249,0.9361621022117799
nsgaii,wfg8,cross_spx,15,249,0.9159278590897797
nsgaii,wfg8,cross_spx,16,249,0.8893700667914655
nsgaii,wfg8,cross_spx,17,249,0.8860880982168107
nsgaii,wfg8,cross_spx,18,249,0.9054458419114507
nsgaii,wfg8,cross_spx,19,249,0.88693440871299
